longitude,latitude,year,county,url,siteID
-080.5815,0039.7646,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.5815_Y0039.7646.png,fd3b4438-5bfb-5c6d-a02b-62065d7adf92
-080.6728,0039.7378,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6728_Y0039.7378.png,fffeab1b-e553-5bc0-b022-5fba29f3307d
-080.6463,0039.7515,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6463_Y0039.7515.png,086d4101-9b56-5351-84f2-727038da5f53
-080.6469,0039.7525,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6469_Y0039.7525.png,104f7e35-9a03-56e4-bdff-d7cb0f632343
-080.6723,0039.7359,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6723_Y0039.7359.png,dc89f22e-9945-557f-ae9f-e7ab7f958b78
-080.7203,0039.7371,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.7203_Y0039.7371.png,284b64cd-af97-557a-a670-d74c3706923e
-080.6762,0039.9303,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6762_Y0039.9303.png,5ba538fd-564e-5142-9d01-c16f144218fe
-080.7198,0039.7361,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.7198_Y0039.7361.png,233a3b14-643d-5595-858e-6d4de9371dda
-080.6645,0039.7592,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6645_Y0039.7592.png,309b2186-80ba-5a71-85d1-e71019ef2628
-080.6669,0039.7597,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6669_Y0039.7597.png,50b2619d-c46b-58f3-8a42-73928ed4deab
-080.7354,0039.7411,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.7354_Y0039.7411.png,41487996-6a3a-525c-a85c-4cd254ac1a90
-080.7103,0039.7480,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.7103_Y0039.7480.png,f5dbb258-7bb5-5d87-8c02-784c2893d0d7
-080.6423,0039.7395,2009,Marshall,https://s3.amazonaws.com/FrackFinder/CricketFrog/Marshall/2009/2009_X-080.6423_Y0039.7395.png,c71af46f-1f7c-5811-a295-428095b88260
